Station_name,District_name,State_name,Latitude,Longitude,Agency_name,Basin
Mini Tirunelveli,Tirunelveli,Tamil Nadu,8.982123,80.331404,Tamil Nadu GWB,Vaigai
New Dindigul,Dindigul,Tamil Nadu,13.413297,76.520406,CGWB,Vaigai
Karur South,Karur,Tamil Nadu,11.956865,79.338775,CGWB,Vaigai
Namakkal Indiranagar,Namakkal,Tamil Nadu,9.726536,79.816069,Tamil Nadu GWB,Krishna
Karur Railway Colony,Karur,Tamil Nadu,11.049269,76.86328,CGWB,Krishna
Dindigul Medical Complex,Dindigul,Tamil Nadu,9.578025,77.934497,Tamil Nadu GWB,Vaigai
Namakkal Colony,Namakkal,Tamil Nadu,9.175358,78.129338,Tamil Nadu GWB,Krishna
Tiruchirappalli Railway Colony,Tiruchirappalli,Tamil Nadu,8.51363,80.283998,Tamil Nadu GWB,Cauvery
Dindigul Industrial Area,Dindigul,Tamil Nadu,8.254175,80.427712,CGWB,Krishna
Karur Industrial Estate,Karur,Tamil Nadu,10.719074,77.09793,CGWB,Cauvery
Namakkal Cantonment Borewell,Namakkal,Tamil Nadu,12.281312,76.984785,Tamil Nadu GWB,Cauvery
Karur University Campus,Karur,Tamil Nadu,10.51054,79.606375,CGWB,Krishna
Thanjavur Indiranagar,Thanjavur,Tamil Nadu,11.369588,79.236733,CGWB,Krishna
Karur Indiranagar,Karur,Tamil Nadu,9.425554,77.112579,Tamil Nadu GWB,Vaigai
Salem Industrial Estate,Salem,Tamil Nadu,9.571505,77.222718,Tamil Nadu GWB,Vaigai
Erode Block,Erode,Tamil Nadu,8.840429,76.962788,Tamil Nadu GWB,Vaigai
Dindigul Koramangala,Dindigul,Tamil Nadu,8.107426,79.962955,CGWB,Krishna
Dindigul Nagar,Dindigul,Tamil Nadu,10.960213,79.305853,Tamil Nadu GWB,Krishna
Namakkal West,Namakkal,Tamil Nadu,11.678805,79.59164,Tamil Nadu GWB,Krishna
Coimbatore Cantonment,Coimbatore,Tamil Nadu,11.25541,78.983499,Tamil Nadu GWB,Cauvery
Vellore University Campus Borewell,Vellore,Tamil Nadu,9.43086,77.473087,CGWB,Cauvery
Karur Junction,Karur,Tamil Nadu,11.575793,79.515549,Tamil Nadu GWB,Cauvery
Coimbatore Housing Board,Coimbatore,Tamil Nadu,9.311997,78.131025,Tamil Nadu GWB,Krishna
Namakkal Industrial Estate,Namakkal,Tamil Nadu,8.92284,78.732614,Tamil Nadu GWB,Krishna
Kalaburagi Medical Complex,Kalaburagi,Karnataka,12.256691,74.115553,Karnataka GWB,Godavari
Belagavi Colony,Belagavi,Karnataka,12.888308,76.66444,Karnataka GWB,Krishna
Bengaluru Urban Indiranagar,Bengaluru Urban,Karnataka,17.073591,76.546696,Karnataka GWB,Cauvery
Ballari Village,Ballari,Karnataka,11.588565,75.890264,CGWB,Godavari
Vijayapura Railway Colony,Vijayapura,Karnataka,12.570938,74.792616,CGWB,Cauvery
Lower Bagalkot,Bagalkot,Karnataka,14.754116,77.715806,Karnataka GWB,Godavari
Tumakuru Village,Tumakuru,Karnataka,14.152925,74.12915,Karnataka GWB,Godavari
Bengaluru Urban Housing Board Borewell,Bengaluru Urban,Karnataka,16.408286,75.243209,CGWB,Cauvery
Ballari Medical Complex,Ballari,Karnataka,15.386233,75.081458,CGWB,Krishna
Belagavi Railway Colony,Belagavi,Karnataka,13.559649,75.819805,CGWB,Cauvery
Kalaburagi Anna Nagar,Kalaburagi,Karnataka,13.962674,76.041854,Karnataka GWB,Godavari
Belagavi Nagar,Belagavi,Karnataka,18.156143,77.105736,CGWB,Godavari
Belagavi Anna Nagar,Belagavi,Karnataka,15.677535,78.412298,CGWB,Krishna
Vijayapura Koramangala,Vijayapura,Karnataka,13.420179,78.384327,Karnataka GWB,Cauvery
Ballari Medical College Borewell,Ballari,Karnataka,12.29861,74.294045,Karnataka GWB,Godavari
Belagavi Tehsil,Belagavi,Karnataka,18.143879,74.383314,CGWB,Krishna
Ballari Industrial Estate,Ballari,Karnataka,16.929855,75.711701,CGWB,Krishna
Old Mysuru,Mysuru,Karnataka,15.878605,75.190908,Karnataka GWB,Godavari
Belagavi Malleswaram,Belagavi,Karnataka,15.656678,75.310667,Karnataka GWB,Krishna
Bagalkot Agricultural Station,Bagalkot,Karnataka,17.967377,77.545226,Karnataka GWB,Godavari
Greater Kalaburagi,Kalaburagi,Karnataka,13.073666,74.670452,CGWB,Cauvery
Kalaburagi Cantonment,Kalaburagi,Karnataka,14.574074,76.109141,Karnataka GWB,Cauvery
Shivamogga Railway Colony,Shivamogga,Karnataka,14.564312,76.691165,Karnataka GWB,Krishna
Bagalkot Industrial Estate,Bagalkot,Karnataka,18.233378,77.761814,Karnataka GWB,Cauvery
Hubli-Dharwad Tehsil,Hubli-Dharwad,Karnataka,15.533729,77.433991,Karnataka GWB,Krishna
Tumakuru Industrial Estate,Tumakuru,Karnataka,14.790073,75.837566,Karnataka GWB,Godavari
Shivamogga Industrial Estate,Shivamogga,Karnataka,14.968283,76.981626,Karnataka GWB,Cauvery
Vijayapura Station,Vijayapura,Karnataka,12.311451,77.476466,Karnataka GWB,Godavari
Upper Ballari,Ballari,Karnataka,14.032456,77.403994,Karnataka GWB,Godavari
Bagalkot Colony,Bagalkot,Karnataka,14.892983,74.129912,Karnataka GWB,Krishna
Mysuru Railway Colony,Mysuru,Karnataka,13.072905,77.786326,Karnataka GWB,Cauvery
Vijayapura Complex,Vijayapura,Karnataka,18.361712,75.096789,CGWB,Krishna
Shivamogga Indiranagar Borewell,Shivamogga,Karnataka,13.433732,77.555028,CGWB,Godavari
Hubli-Dharwad Indiranagar,Hubli-Dharwad,Karnataka,15.559464,76.969733,CGWB,Cauvery
Nashik Housing Board,Nashik,Maharashtra,18.45974,75.074219,Maharashtra GWB,Narmada
Powai,Latur,Maharashtra,15.783707,78.457641,Maharashtra GWB,Godavari
Satara Railway Colony,Satara,Maharashtra,18.719636,72.796157,CGWB,Narmada
Mumbai Housing Board,Mumbai,Maharashtra,16.148126,79.783533,Maharashtra GWB,Godavari
Bandra,Solapur,Maharashtra,15.986384,78.752202,CGWB,Narmada
Kolhapur Industrial Estate,Kolhapur,Maharashtra,21.701907,77.514393,Maharashtra GWB,Tapi
Dhule Agricultural Farm,Dhule,Maharashtra,21.983268,78.474131,Maharashtra GWB,Tapi
Mumbai Vashi,Mumbai,Maharashtra,21.372256,72.867928,Maharashtra GWB,Godavari
Dhule Medical Complex,Dhule,Maharashtra,16.604894,73.131747,CGWB,Godavari
Kolhapur Churchgate,Kolhapur,Maharashtra,17.009225,77.603237,CGWB,Godavari
Churchgate,Sangli,Maharashtra,15.980102,80.061885,Maharashtra GWB,Tapi
Mini Kolhapur,Kolhapur,Maharashtra,16.79491,75.577546,CGWB,Tapi
Borivali,Dhule,Maharashtra,15.642607,79.1403,CGWB,Krishna
Solapur Village,Solapur,Maharashtra,21.41901,78.461377,Maharashtra GWB,Tapi
Ahmednagar Agricultural Station,Ahmednagar,Maharashtra,19.905469,78.267427,Maharashtra GWB,Krishna
Sangli Churchgate,Sangli,Maharashtra,17.508064,76.026586,Maharashtra GWB,Narmada
Greater Satara,Satara,Maharashtra,16.64166,73.557278,Maharashtra GWB,Krishna
Nashik Medical Complex,Nashik,Maharashtra,18.544154,73.102395,Maharashtra GWB,Tapi
Solapur Industrial Estate,Solapur,Maharashtra,16.086969,75.656596,Maharashtra GWB,Tapi
Aurangabad Park Borewell,Aurangabad,Maharashtra,19.299641,79.079338,CGWB,Tapi
Pune Agricultural Station,Pune,Maharashtra,21.449163,74.270938,CGWB,Narmada
Mumbai Powai,Mumbai,Maharashtra,16.258394,72.862774,Maharashtra GWB,Narmada
Latur University Campus,Latur,Maharashtra,18.448684,77.86389,CGWB,Godavari
Kolhapur Cantonment,Kolhapur,Maharashtra,21.25519,77.739375,Maharashtra GWB,Tapi
Nashik Railway Colony Borewell,Nashik,Maharashtra,16.912253,76.057567,Maharashtra GWB,Krishna
Pune Housing Board,Pune,Maharashtra,21.66857,79.093529,Maharashtra GWB,Krishna
Nagpur Housing Board Borewell,Nagpur,Maharashtra,15.82876,75.168073,CGWB,Godavari
Andheri,Nashik,Maharashtra,19.31149,79.004424,Maharashtra GWB,Godavari
Nagpur Central,Nagpur,Maharashtra,21.918927,76.821724,Maharashtra GWB,Godavari
Shri Solapur,Solapur,Maharashtra,19.327544,72.626249,Maharashtra GWB,Narmada
Pune Bandra,Pune,Maharashtra,20.557111,76.605904,CGWB,Tapi
Mumbai Cantonment Borewell,Mumbai,Maharashtra,18.477276,80.212209,Maharashtra GWB,Godavari
Ahmednagar University Campus,Ahmednagar,Maharashtra,15.926935,74.700128,Maharashtra GWB,Tapi
Pune Industrial Estate,Pune,Maharashtra,18.44915,77.343414,Maharashtra GWB,Godavari
Bareilly Shastri Nagar,Bareilly,Uttar Pradesh,26.681469,83.660683,Uttar Pradesh GWB,Yamuna
Agra Cantonment Borewell,Agra,Uttar Pradesh,28.256223,79.807258,CGWB,Ganga
Meerut Campus,Meerut,Uttar Pradesh,26.693573,82.584417,Uttar Pradesh GWB,Ganga
Bareilly Industrial Estate,Bareilly,Uttar Pradesh,26.552418,83.552055,Uttar Pradesh GWB,Yamuna
Agra Cantonment,Agra,Uttar Pradesh,24.494124,80.805594,Uttar Pradesh GWB,Yamuna
Model Town,Varanasi,Uttar Pradesh,24.569732,79.089262,Uttar Pradesh GWB,Ganga
Mathura Patel Nagar,Mathura,Uttar Pradesh,27.880266,81.933734,Uttar Pradesh GWB,Yamuna
Agra Medical Complex,Agra,Uttar Pradesh,26.151857,78.360542,Uttar Pradesh GWB,Ganga
Bareilly Railway Colony,Bareilly,Uttar Pradesh,24.414776,80.97862,Uttar Pradesh GWB,Ganga
Aligarh Nagar,Aligarh,Uttar Pradesh,29.718393,78.166849,Uttar Pradesh GWB,Yamuna
Moradabad East,Moradabad,Uttar Pradesh,26.575031,78.616767,Uttar Pradesh GWB,Yamuna
Varanasi Model Town,Varanasi,Uttar Pradesh,27.330459,79.313145,CGWB,Ganga
Kanpur Tehsil,Kanpur,Uttar Pradesh,28.919878,79.170853,Uttar Pradesh GWB,Ganga
Meerut Research Station Borewell,Meerut,Uttar Pradesh,27.151758,83.250157,Uttar Pradesh GWB,Ganga
Civil Lines,Aligarh,Uttar Pradesh,29.576137,81.318194,Uttar Pradesh GWB,Yamuna
Gorakhpur Railway Colony Borewell,Gorakhpur,Uttar Pradesh,24.95155,84.107107,CGWB,Ganga
Nehru Colony,Kanpur,Uttar Pradesh,26.719033,80.003374,CGWB,Ganga
Moradabad Village,Moradabad,Uttar Pradesh,27.220238,77.8552,CGWB,Ganga
Varanasi Water Works,Varanasi,Uttar Pradesh,25.383001,78.098332,Uttar Pradesh GWB,Yamuna
Aligarh University Campus,Aligarh,Uttar Pradesh,26.908486,81.228016,CGWB,Yamuna
Gorakhpur Railway Colony,Gorakhpur,Uttar Pradesh,24.811415,77.512147,Uttar Pradesh GWB,Yamuna
Old Gorakhpur,Gorakhpur,Uttar Pradesh,27.199157,79.328059,CGWB,Ganga
Gorakhpur University Campus,Gorakhpur,Uttar Pradesh,27.920556,80.803009,CGWB,Ganga
Ghaziabad Park,Ghaziabad,Uttar Pradesh,26.813216,83.073619,CGWB,Yamuna
Meerut Industrial Estate,Meerut,Uttar Pradesh,24.493463,83.743451,Uttar Pradesh GWB,Ganga
Moradabad University Campus,Moradabad,Uttar Pradesh,28.541065,84.432395,Uttar Pradesh GWB,Yamuna
Ghaziabad Industrial Estate,Ghaziabad,Uttar Pradesh,26.395691,82.808486,Uttar Pradesh GWB,Ganga
Bareilly Agricultural Station,Bareilly,Uttar Pradesh,26.008928,81.184724,Uttar Pradesh GWB,Ganga
Ghaziabad Medical Complex,Ghaziabad,Uttar Pradesh,29.942201,79.326738,Uttar Pradesh GWB,Ganga
Meerut Research Station,Meerut,Uttar Pradesh,25.874199,79.825095,CGWB,Ganga
Meerut Rural,Meerut,Uttar Pradesh,28.128366,80.175548,Uttar Pradesh GWB,Yamuna
Shri Agra,Agra,Uttar Pradesh,25.086435,84.499825,CGWB,Ganga
Aligarh West,Aligarh,Uttar Pradesh,28.234926,83.572946,CGWB,Ganga
Meerut Medical Complex,Meerut,Uttar Pradesh,28.631926,77.327693,Uttar Pradesh GWB,Yamuna
Bikaner Housing Board,Bikaner,Rajasthan,28.417216,76.554203,CGWB,Sabarmati
Jhunjhunu Cantonment,Jhunjhunu,Rajasthan,29.508615,71.246146,Rajasthan GWB,Sabarmati
Udaipur West,Udaipur,Rajasthan,26.620928,73.267947,Rajasthan GWB,Sabarmati
Jodhpur Agricultural Station,Jodhpur,Rajasthan,29.293642,74.490867,Rajasthan GWB,Indus
Kota South,Kota,Rajasthan,28.494441,71.955122,Rajasthan GWB,Sabarmati
Pali Village,Pali,Rajasthan,29.369334,77.874247,CGWB,Luni
Jodhpur Medical Complex,Jodhpur,Rajasthan,24.616679,72.368164,Rajasthan GWB,Indus
Churu Park,Churu,Rajasthan,25.065532,76.967854,Rajasthan GWB,Indus
Udaipur Medical Complex,Udaipur,Rajasthan,23.136828,71.440893,Rajasthan GWB,Luni
Bikaner Park,Bikaner,Rajasthan,24.71101,70.596635,Rajasthan GWB,Mahi
Jaipur Railway Colony,Jaipur,Rajasthan,28.173519,72.121448,Rajasthan GWB,Indus
Kota University Campus,Kota,Rajasthan,26.769089,72.745434,Rajasthan GWB,Indus
Jhunjhunu Nehru Colony Borewell,Jhunjhunu,Rajasthan,25.811267,73.731216,CGWB,Luni
Mini Jodhpur,Jodhpur,Rajasthan,24.736107,75.41394,Rajasthan GWB,Sabarmati
New Udaipur,Udaipur,Rajasthan,30.061898,73.806781,Rajasthan GWB,Mahi
Ajmer Cantonment,Ajmer,Rajasthan,29.377691,72.340362,Rajasthan GWB,Luni
Patel Nagar,Ajmer,Rajasthan,23.26367,75.322104,Rajasthan GWB,Luni
Sikar South,Sikar,Rajasthan,26.14605,73.100196,CGWB,Mahi
Jodhpur Civil Lines,Jodhpur,Rajasthan,26.927416,72.390903,CGWB,Mahi
Jaipur Agricultural Station,Jaipur,Rajasthan,27.966307,72.663923,Rajasthan GWB,Sabarmati
Jaipur Block,Jaipur,Rajasthan,24.976799,78.320246,CGWB,Mahi
Alwar Agricultural Station,Alwar,Rajasthan,29.860084,70.785015,Rajasthan GWB,Mahi
Pali Industrial Estate,Pali,Rajasthan,28.605311,72.796956,Rajasthan GWB,Luni
Alwar Block,Alwar,Rajasthan,25.678496,76.36776,Rajasthan GWB,Indus
Kota Model Town,Kota,Rajasthan,23.186576,71.174432,CGWB,Mahi
Sri Sikar,Sikar,Rajasthan,30.173829,72.070192,CGWB,Indus
Bharatpur Railway Colony,Bharatpur,Rajasthan,28.835695,78.208051,Rajasthan GWB,Luni
Churu Medical Complex,Churu,Rajasthan,29.417588,77.162258,CGWB,Mahi
Udaipur Central,Udaipur,Rajasthan,23.87381,71.308823,Rajasthan GWB,Sabarmati
Sri Alwar,Alwar,Rajasthan,28.786364,74.464822,CGWB,Indus
Shastri Nagar,Jodhpur,Rajasthan,23.902353,72.353249,CGWB,Mahi
Kota Market,Kota,Rajasthan,28.528028,70.661297,Rajasthan GWB,Luni
Kota Patel Nagar,Kota,Rajasthan,29.730112,71.529233,Rajasthan GWB,Mahi
Surat Medical Complex,Surat,Gujarat,22.937605,71.993784,CGWB,Tapi
Mehsana Bandra,Mehsana,Gujarat,20.804643,72.059115,Gujarat GWB,Sabarmati
Gandhi Nagar Medical Complex Borewell,Gandhi Nagar,Gujarat,23.060311,72.985234,CGWB,Sabarmati
Rajkot Cantonment,Rajkot,Gujarat,23.016964,69.963612,Gujarat GWB,Narmada
Anand West,Anand,Gujarat,20.742978,70.701541,CGWB,Sabarmati
Junagadh University Campus,Junagadh,Gujarat,24.584258,68.84998,Gujarat GWB,Narmada
Sant Surat,Surat,Gujarat,21.257117,69.611473,CGWB,Tapi
Junagadh Park,Junagadh,Gujarat,23.823346,74.069385,Gujarat GWB,Sabarmati
Gandhi Nagar Cantonment,Gandhi Nagar,Gujarat,22.33764,68.585319,Gujarat GWB,Sabarmati
Mehsana Medical Complex,Mehsana,Gujarat,20.228693,69.828816,Gujarat GWB,Narmada
Junagadh Vashi Borewell,Junagadh,Gujarat,22.025361,73.735962,Gujarat GWB,Sabarmati
Kheda Bandra,Kheda,Gujarat,22.600148,68.477956,Gujarat GWB,Narmada
Junagadh Block,Junagadh,Gujarat,20.604718,68.62843,Gujarat GWB,Tapi
Kheda Medical Complex,Kheda,Gujarat,23.353882,73.225778,Gujarat GWB,Mahi
Vashi,Ahmedabad,Gujarat,23.331077,69.948639,Gujarat GWB,Narmada
Mehsana Housing Board,Mehsana,Gujarat,22.805475,69.725948,Gujarat GWB,Tapi
Gandhi Nagar Junction Borewell,Gandhi Nagar,Gujarat,22.463892,72.687688,CGWB,Narmada
Gandhi Nagar Urban,Gandhi Nagar,Gujarat,20.896686,70.866751,CGWB,Mahi
Ahmedabad Housing Board,Ahmedabad,Gujarat,24.102243,72.782942,Gujarat GWB,Mahi
Vadodara Bandra,Vadodara,Gujarat,22.469743,70.039392,CGWB,Sabarmati
Rajkot Bandra,Rajkot,Gujarat,22.86736,69.249717,CGWB,Sabarmati
Anand Powai,Anand,Gujarat,23.313034,72.486559,CGWB,Sabarmati
Old Kheda,Kheda,Gujarat,21.35261,71.727599,Gujarat GWB,Sabarmati
Lower Kheda,Kheda,Gujarat,23.512491,69.390914,Gujarat GWB,Mahi
Vadodara Rural,Vadodara,Gujarat,21.55238,71.070625,CGWB,Mahi
Bhavnagar Junction,Bhavnagar,Gujarat,22.244008,69.296464,CGWB,Narmada
Vadodara Block,Vadodara,Gujarat,24.29218,69.137921,Gujarat GWB,Sabarmati
Mehsana Industrial Estate,Mehsana,Gujarat,24.120693,68.060237,Gujarat GWB,Mahi
Anand Circle,Anand,Gujarat,24.648768,71.531453,CGWB,Sabarmati
Bhavnagar Housing Board Borewell,Bhavnagar,Gujarat,20.763723,70.982944,Gujarat GWB,Sabarmati
Vadodara Agricultural Station,Vadodara,Gujarat,22.668572,72.922338,Gujarat GWB,Mahi
Surat Park,Surat,Gujarat,22.421819,68.563796,Gujarat GWB,Sabarmati
Bhavnagar Churchgate,Bhavnagar,Gujarat,21.8028,70.903781,Gujarat GWB,Mahi
Gurdaspur Agricultural Station,Gurdaspur,Punjab,30.420419,74.837875,Punjab GWB,Ravi
Jalandhar Gandhi Nagar,Jalandhar,Punjab,30.602632,74.228802,Punjab GWB,Sutlej
Gurdaspur Complex,Gurdaspur,Punjab,31.147704,75.053733,Punjab GWB,Ravi
Shri Sangrur,Sangrur,Punjab,31.084519,74.69389,Punjab GWB,Indus
Amritsar Housing Board,Amritsar,Punjab,30.484353,75.217127,Punjab GWB,Sutlej
Jalandhar Cantonment,Jalandhar,Punjab,30.836448,73.683598,Punjab GWB,Ravi
Ludhiana Industrial Estate Borewell,Ludhiana,Punjab,31.518303,74.51696,Punjab GWB,Indus
Amritsar Patel Nagar,Amritsar,Punjab,31.123491,73.698844,Punjab GWB,Sutlej
Firozpur Shastri Nagar,Firozpur,Punjab,32.435,75.631407,Punjab GWB,Indus
Gurdaspur Village,Gurdaspur,Punjab,31.548191,75.683915,CGWB,Ravi
Bathinda Colony,Bathinda,Punjab,31.086528,75.901932,CGWB,Ravi
Bathinda Nehru Colony,Bathinda,Punjab,31.095801,76.217089,CGWB,Indus
Old Sangrur,Sangrur,Punjab,29.596652,75.678652,Punjab GWB,Sutlej
Ludhiana Shastri Nagar,Ludhiana,Punjab,31.609859,73.660632,CGWB,Indus
Bathinda University Campus,Bathinda,Punjab,29.920407,76.778495,Punjab GWB,Sutlej
Jalandhar University Campus,Jalandhar,Punjab,31.955147,74.281783,Punjab GWB,Indus
Jalandhar Medical Complex,Jalandhar,Punjab,31.170154,75.452502,Punjab GWB,Ravi
Gurdaspur Civil Lines,Gurdaspur,Punjab,32.324759,75.71543,Punjab GWB,Sutlej
Patiala Housing Board,Patiala,Punjab,30.920556,76.302825,CGWB,Sutlej
Gurdaspur Nagar,Gurdaspur,Punjab,30.738032,74.874476,Punjab GWB,Ravi
Sant Bathinda Borewell,Bathinda,Punjab,32.0414,73.805131,Punjab GWB,Sutlej
Hoshiarpur Town,Hoshiarpur,Punjab,31.672916,75.344207,CGWB,Indus
Amritsar Agricultural Station,Amritsar,Punjab,32.311479,76.674856,Punjab GWB,Sutlej
Bathinda Railway Colony,Bathinda,Punjab,31.611306,74.808886,Punjab GWB,Sutlej
Mohali Cantonment,Mohali,Punjab,31.446164,74.517794,CGWB,Sutlej
Bathinda Central,Bathinda,Punjab,30.908471,76.271113,CGWB,Sutlej
Bathinda Gandhi Nagar,Bathinda,Punjab,31.660036,74.474135,Punjab GWB,Sutlej
Hoshiarpur Medical Complex,Hoshiarpur,Punjab,32.330394,74.613962,Punjab GWB,Sutlej
Gandhi Nagar,Gurdaspur,Punjab,31.884927,74.058577,Punjab GWB,Indus
Amritsar Industrial Estate,Amritsar,Punjab,31.071833,76.268926,Punjab GWB,Sutlej
Ludhiana Village Borewell,Ludhiana,Punjab,30.1943,75.83366,Punjab GWB,Sutlej
Ludhiana Tehsil Borewell,Ludhiana,Punjab,32.238254,75.675638,Punjab GWB,Ravi
Gurdaspur Medical Complex,Gurdaspur,Punjab,31.107214,74.446072,CGWB,Indus
Greater Hisar,Hisar,Haryana,27.863856,74.817836,Haryana GWB,Ghaggar
Sonipat Housing Board,Sonipat,Haryana,27.768665,77.665683,Haryana GWB,Indus
Gurugram Block,Gurugram,Haryana,30.315411,74.766036,Haryana GWB,Yamuna
Rohtak Agricultural Station,Rohtak,Haryana,29.889674,74.772864,CGWB,Yamuna
Panipat Agricultural Farm,Panipat,Haryana,30.54229,77.533202,Haryana GWB,Yamuna
Ambala University Campus,Ambala,Haryana,30.642142,76.758615,Haryana GWB,Ghaggar
Hisar Agricultural Station,Hisar,Haryana,27.553238,75.183622,Haryana GWB,Yamuna
Rohtak University Campus,Rohtak,Haryana,29.417458,76.370097,CGWB,Yamuna
Faridabad Medical Complex,Faridabad,Haryana,30.187693,76.774725,Haryana GWB,Ghaggar
Sirsa University Campus,Sirsa,Haryana,28.28929,74.75086,CGWB,Yamuna
Sonipat Gandhi Nagar,Sonipat,Haryana,29.656018,77.085709,Haryana GWB,Indus
Gandhi Nagar Borewell,Sirsa,Haryana,29.491975,75.75424,Haryana GWB,Indus
Rohtak Nehru Colony Borewell,Rohtak,Haryana,30.165227,75.009114,Haryana GWB,Ghaggar
Faridabad Station,Faridabad,Haryana,30.088578,74.837364,Haryana GWB,Yamuna
Sirsa Agricultural Station,Sirsa,Haryana,27.804704,76.328925,Haryana GWB,Ghaggar
Kurukshetra Rural,Kurukshetra,Haryana,28.906954,77.071258,Haryana GWB,Ghaggar
Faridabad Tehsil,Faridabad,Haryana,28.523846,76.127309,CGWB,Ghaggar
Sonipat University Campus,Sonipat,Haryana,28.355779,75.313747,Haryana GWB,Ghaggar
