station_name,timestamp,groundwaterlevel_mbgl,rainfall_mm,temperature_c,ph,turbidity_ntu,tds_ppm
GWS001,2024-02-11,27.97,1.8,8.0,6.96,2.58,1326
GWS001,2024-02-18,29.03,0.0,8.0,7.37,2.27,1307
GWS001,2024-02-25,28.31,0.0,8.0,7.18,2.47,1211
GWS001,2024-03-03,30.58,0.0,17.5,7.27,2.02,1552
GWS001,2024-03-10,30.08,0.0,22.9,7.3,2.17,1549
GWS001,2024-03-17,29.7,21.1,23.0,7.13,4.03,1172
GWS001,2024-03-24,30.66,0.0,29.1,7.09,2.0,1580
GWS001,2024-03-31,32.29,0.0,28.7,7.36,1.91,1555
GWS001,2024-04-07,30.51,0.0,38.3,7.03,2.31,1427
GWS001,2024-04-14,30.94,0.0,40.1,7.57,2.11,1328
GWS001,2024-04-21,33.85,0.0,42.6,7.22,1.77,1505
GWS001,2024-04-28,34.08,0.0,44.8,7.19,2.38,1392
GWS001,2024-05-05,34.26,0.0,41.5,7.42,2.06,1518
GWS001,2024-05-12,33.76,0.0,45.0,7.31,1.7,1525
GWS001,2024-05-19,34.46,0.0,41.9,7.53,2.29,1322
GWS001,2024-05-26,33.2,0.0,45.0,7.16,1.85,1517
GWS001,2024-06-02,24.79,31.1,33.4,7.35,4.38,1247
GWS001,2024-06-09,23.01,0.0,38.3,7.43,2.26,1181
GWS001,2024-06-16,22.03,47.9,38.7,7.37,5.57,1314
GWS001,2024-06-23,21.31,98.0,38.8,7.7,6.74,1085
GWS001,2024-06-30,22.37,0.0,35.3,6.93,2.5,1291
GWS001,2024-07-07,24.91,0.0,33.5,7.15,1.92,1192
GWS001,2024-07-14,20.67,0.0,38.3,7.25,1.77,1173
GWS001,2024-07-21,23.51,38.3,32.9,7.35,6.14,1178
GWS001,2024-07-28,24.28,0.0,33.8,7.03,1.86,1148
GWS001,2024-08-04,23.97,48.9,30.3,7.34,3.34,1169
GWS001,2024-08-11,25.15,43.1,31.3,7.37,5.66,1137
GWS001,2024-08-18,20.35,0.0,28.3,7.38,2.1,1229
GWS001,2024-08-25,21.14,56.5,27.8,7.23,4.72,1155
GWS001,2024-09-01,21.55,60.3,24.4,6.96,4.01,1327
GWS001,2024-09-08,24.18,0.0,24.2,7.22,1.74,1215
GWS001,2024-09-15,20.79,0.0,21.2,7.19,2.27,1127
GWS001,2024-09-22,20.26,39.1,22.1,7.17,6.45,1145
GWS001,2024-09-29,19.97,19.0,17.0,7.02,2.66,1182
GWS001,2024-10-06,28.13,7.4,17.4,7.27,2.28,1225
GWS001,2024-10-13,25.9,0.0,16.8,7.27,1.66,1218
GWS001,2024-10-20,25.28,16.5,11.5,7.28,3.26,1268
GWS001,2024-10-27,28.94,5.8,18.7,7.3,2.33,1176
GWS001,2024-11-03,26.44,0.0,17.1,7.09,1.86,1259
GWS001,2024-11-10,26.62,0.0,9.5,7.0,2.52,1220
GWS001,2024-11-17,27.72,13.9,12.6,7.23,3.79,1324
GWS001,2024-11-24,27.31,0.0,12.5,7.2,1.68,1200
GWS001,2024-12-01,25.92,0.0,8.0,7.06,1.69,1361
GWS001,2024-12-08,26.84,0.0,8.0,7.45,2.43,1255
GWS001,2024-12-15,26.12,3.0,8.0,7.36,1.79,1165
GWS001,2024-12-22,26.86,0.0,8.0,7.13,2.21,1322
GWS001,2024-12-29,25.96,0.0,8.0,7.45,2.49,1201
GWS001,2025-01-05,26.43,0.0,8.0,7.42,1.93,1233
GWS001,2025-01-12,27.11,0.0,8.0,7.29,2.04,1186
GWS001,2025-01-19,26.16,0.0,8.0,6.89,2.46,1162
GWS001,2025-01-26,27.53,7.4,8.0,7.05,2.45,1333
GWS001,2025-02-02,26.61,0.0,8.0,7.13,2.36,1225
GWS001,2025-02-09,27.33,0.0,8.0,7.64,2.08,1168
GWS001,2025-02-16,27.65,0.0,8.0,7.12,2.49,1209
GWS001,2025-02-23,27.45,0.0,8.0,7.37,2.05,1318
GWS001,2025-03-02,28.14,45.1,19.8,7.01,6.47,1301
GWS001,2025-03-09,28.79,0.0,19.2,7.05,1.7,1207
GWS001,2025-03-16,29.44,30.2,18.0,7.27,4.24,1346
GWS001,2025-03-23,27.27,40.0,22.8,7.23,3.92,1129
GWS001,2025-03-30,29.42,0.0,26.1,7.44,1.63,1291
GWS001,2025-04-06,32.38,0.0,33.9,7.35,1.79,1517
GWS001,2025-04-13,30.69,0.0,37.9,6.87,1.66,1595
GWS001,2025-04-20,31.79,35.0,45.0,7.02,4.73,1563
GWS001,2025-04-27,33.1,0.0,44.6,7.24,2.22,1506
GWS001,2025-05-04,29.26,0.0,44.6,7.0,2.49,1248
GWS001,2025-05-11,31.47,19.9,45.0,7.47,2.71,1369
GWS001,2025-05-18,32.44,0.0,45.0,7.46,2.38,1449
GWS001,2025-05-25,31.46,0.0,45.0,7.2,1.88,1499
GWS002,2023-01-01,37.42,14.0,8.0,6.83,8.75,1295
GWS002,2023-01-08,38.14,0.0,8.0,6.92,4.79,1139
GWS002,2023-01-15,37.78,6.9,8.7,7.14,5.59,1124
GWS002,2023-01-22,37.91,0.0,9.1,7.04,5.73,1143
GWS002,2023-01-29,36.82,0.0,8.0,7.09,5.66,1172
GWS002,2023-02-05,36.77,0.0,8.0,6.98,4.92,1216
GWS002,2023-02-12,37.68,0.0,8.0,7.16,5.42,1186
GWS002,2023-02-19,37.8,0.0,13.1,7.29,5.06,921
GWS002,2023-02-26,36.96,0.0,11.6,7.3,5.74,1010
GWS002,2023-03-05,39.04,16.8,20.9,7.04,9.55,1075
GWS002,2023-03-12,40.86,0.0,20.6,7.32,5.73,976
GWS002,2023-03-19,40.38,0.0,28.7,7.12,5.49,1151
GWS002,2023-03-26,40.37,45.3,28.5,7.39,9.31,1138
GWS002,2023-04-02,42.83,0.0,37.8,6.78,5.24,1134
GWS002,2023-04-09,40.43,0.0,42.7,7.05,5.3,1165
GWS002,2023-04-16,42.34,0.0,45.0,7.02,5.24,1323
GWS002,2023-04-23,42.51,54.0,45.0,6.89,8.59,909
GWS002,2023-04-30,40.57,0.0,45.0,7.06,4.9,1030
GWS002,2023-05-07,41.68,0.0,45.0,7.28,5.41,1161
GWS002,2023-05-14,40.77,0.0,45.0,6.93,5.08,1200
GWS002,2023-05-21,41.84,0.0,45.0,7.41,5.05,1096
GWS002,2023-05-28,42.2,0.0,45.0,7.06,5.38,1109
GWS002,2023-06-04,31.82,86.2,36.7,7.36,15.0,1120
GWS002,2023-06-11,30.79,37.0,39.9,6.98,15.0,1254
GWS002,2023-06-18,29.5,296.6,41.3,7.15,15.0,767
GWS002,2023-06-25,32.03,0.0,41.2,7.1,5.62,1288
GWS002,2023-07-02,33.79,55.6,39.3,7.28,8.14,1019
GWS002,2023-07-09,33.49,0.0,35.4,7.24,5.38,944
GWS002,2023-07-16,30.71,28.2,35.1,7.31,6.13,1095
GWS002,2023-07-23,34.2,165.6,34.9,6.72,15.0,1041
GWS002,2023-07-30,32.56,25.2,32.8,6.93,9.79,1127
GWS002,2023-08-06,31.45,0.0,37.4,7.09,5.67,1143
GWS002,2023-08-13,31.23,30.5,29.1,6.7,13.26,1169
GWS002,2023-08-20,33.22,0.0,31.9,7.08,5.65,902
GWS002,2023-08-27,34.2,13.2,31.1,6.78,7.48,1153
GWS002,2023-09-03,30.05,58.0,29.1,7.39,11.27,1340
GWS002,2023-09-10,31.38,34.7,27.1,7.36,12.8,1037
GWS002,2023-09-17,33.4,0.0,24.4,6.79,5.44,1191
GWS002,2023-09-24,29.79,97.4,23.5,7.31,15.0,950
GWS002,2023-10-01,36.93,0.0,21.7,7.05,4.86,1270
GWS002,2023-10-08,38.07,0.0,18.4,7.03,5.34,1015
GWS002,2023-10-15,36.67,0.0,20.2,7.38,5.41,1083
GWS002,2023-10-22,36.04,0.0,20.1,6.64,5.61,1293
GWS002,2023-10-29,36.29,0.0,14.6,7.01,5.43,1146
GWS002,2023-11-05,34.63,0.0,17.7,6.85,5.44,1241
GWS002,2023-11-12,35.23,0.0,15.5,6.95,5.17,1209
GWS002,2023-11-19,37.95,0.0,13.1,6.99,4.82,933
GWS002,2023-11-26,37.05,0.0,10.9,6.69,5.63,1168
GWS002,2023-12-03,37.43,0.0,8.0,7.25,5.73,1215
GWS002,2023-12-10,35.72,0.0,8.0,7.1,5.1,1162
GWS002,2023-12-17,36.59,0.0,8.0,7.2,5.53,1242
GWS002,2023-12-24,36.09,0.0,8.0,7.29,5.44,1091
GWS002,2023-12-31,37.0,3.9,8.0,7.14,4.87,946
GWS002,2024-01-07,35.81,0.0,8.0,6.85,5.12,1022
GWS002,2024-01-14,36.12,0.0,8.0,7.43,5.34,979
GWS002,2024-01-21,36.5,9.3,8.0,6.72,5.01,1141
GWS002,2024-01-28,36.09,0.0,8.0,7.18,5.1,1320
GWS002,2024-02-04,36.08,0.0,8.0,7.47,5.06,1176
GWS002,2024-02-11,36.17,0.0,8.0,7.11,5.31,1222
GWS002,2024-02-18,36.83,0.0,9.5,7.33,5.17,1122
GWS002,2024-02-25,36.86,0.0,11.4,7.0,5.27,1270
GWS002,2024-03-03,40.58,0.0,20.9,7.26,5.12,1116
GWS002,2024-03-10,39.94,0.0,21.0,6.91,5.28,1152
GWS002,2024-03-17,38.78,0.0,22.4,6.78,5.73,1078
GWS002,2024-03-24,37.78,0.0,27.4,7.11,5.06,1157
GWS002,2024-03-31,38.72,0.0,26.3,6.86,5.72,1004
GWS002,2024-04-07,40.16,0.0,40.4,7.04,4.97,1203
GWS002,2024-04-14,38.46,0.0,42.0,7.27,5.4,1177
GWS002,2024-04-21,40.44,0.0,45.0,6.99,4.9,956
GWS002,2024-04-28,41.52,36.9,45.0,7.21,15.0,1029
GWS002,2024-05-05,40.49,5.8,45.0,7.05,5.45,1168
GWS002,2024-05-12,39.87,0.0,45.0,6.84,5.51,1159
GWS002,2024-05-19,40.25,0.0,45.0,7.19,5.75,1113
GWS002,2024-05-26,40.39,0.0,45.0,7.43,5.0,1202
GWS002,2024-06-02,29.97,43.6,36.7,7.02,13.24,899
GWS002,2024-06-09,28.36,0.0,43.1,7.45,4.89,988
GWS002,2024-06-16,30.98,0.0,39.8,6.88,5.22,1190
GWS002,2024-06-23,32.15,40.1,42.2,7.17,13.0,991
GWS002,2024-06-30,31.08,0.0,38.8,7.08,5.11,1037
GWS002,2024-07-07,28.89,0.0,35.4,7.23,5.45,845
GWS002,2024-07-14,32.25,0.0,36.1,7.19,5.16,1086
GWS002,2024-07-21,29.13,145.2,35.2,7.36,15.0,807
GWS002,2024-07-28,33.5,9.7,36.5,6.92,5.41,1164
GWS002,2024-08-04,32.73,0.0,30.5,7.23,5.15,1164
GWS002,2024-08-11,31.65,0.0,35.9,7.27,5.42,1077
GWS002,2024-08-18,28.14,0.0,34.4,6.81,5.36,977
GWS002,2024-08-25,27.04,0.0,30.1,7.24,5.72,941
GWS002,2024-09-01,31.29,27.0,28.4,7.04,8.45,1029
GWS002,2024-09-08,31.53,28.8,26.1,7.29,5.65,1107
GWS002,2024-09-15,31.32,10.7,27.7,7.28,6.21,1184
GWS002,2024-09-22,28.94,242.5,21.4,6.93,15.0,823
GWS002,2024-09-29,28.43,68.3,19.0,7.38,15.0,859
GWS002,2024-10-06,35.32,0.0,24.9,6.95,5.75,1146
GWS002,2024-10-13,34.53,0.0,16.0,7.03,5.39,1130
GWS002,2024-10-20,37.12,0.0,14.7,6.91,5.11,1327
GWS002,2024-10-27,34.72,0.0,15.5,6.89,4.82,1248
GWS002,2024-11-03,36.86,0.0,18.4,6.68,4.9,1123
GWS002,2024-11-10,34.88,0.0,15.8,7.24,5.08,950
GWS002,2024-11-17,35.76,26.0,13.8,7.24,7.02,977
GWS002,2024-11-24,35.69,0.0,9.8,6.85,5.28,1167
GWS002,2024-12-01,34.89,0.0,8.0,7.12,4.9,1114
GWS002,2024-12-08,35.7,0.0,8.0,7.02,5.58,955
GWS002,2024-12-15,34.3,0.0,8.0,6.76,4.93,1194
GWS002,2024-12-22,35.36,0.0,8.0,7.03,4.8,1080
GWS002,2024-12-29,35.09,6.3,8.0,7.29,5.39,1305
GWS002,2025-01-05,34.73,0.0,8.0,7.02,4.94,1060
GWS002,2025-01-12,34.16,0.0,8.0,7.49,4.86,1146
GWS002,2025-01-19,34.2,0.0,8.0,7.18,5.6,1153
GWS002,2025-01-26,35.51,0.0,8.0,7.33,5.33,1180
GWS002,2025-02-02,34.73,0.0,8.0,6.89,4.76,1130
GWS002,2025-02-09,35.97,0.0,8.0,7.22,5.54,1327
GWS002,2025-02-16,36.01,0.0,8.0,6.73,5.71,1302
GWS002,2025-02-23,36.03,0.0,15.7,6.91,4.94,1074
GWS002,2025-03-02,39.22,0.0,27.9,6.8,5.69,1189
GWS002,2025-03-09,39.4,78.8,24.2,6.86,13.33,1036
GWS002,2025-03-16,35.5,37.0,29.9,7.28,10.93,1054
GWS002,2025-03-23,37.37,69.2,25.1,7.19,9.11,1229
GWS002,2025-03-30,36.61,0.0,29.1,6.96,4.92,932
GWS002,2025-04-06,40.48,0.0,38.4,6.8,5.6,1000
GWS002,2025-04-13,38.72,11.8,39.7,6.9,7.15,1110
GWS002,2025-04-20,40.36,0.0,43.0,6.94,5.03,1079
GWS002,2025-04-27,37.92,0.0,45.0,7.35,5.18,1201
GWS002,2025-05-04,40.28,0.0,45.0,7.38,5.44,1102
GWS002,2025-05-11,39.38,0.0,45.0,7.32,5.76,1196
GWS002,2025-05-18,40.66,0.0,45.0,6.9,5.64,1220
GWS002,2025-05-25,38.95,0.0,45.0,7.32,4.87,1060
GWS003,2023-01-01,21.59,0.0,8.0,7.67,3.78,569
GWS003,2023-01-08,21.38,0.0,8.0,7.54,3.64,521
GWS003,2023-01-15,22.28,0.0,8.0,7.48,3.76,571
GWS003,2023-01-22,23.15,0.0,8.0,7.37,3.68,591
GWS003,2023-01-29,21.76,0.0,8.0,7.58,4.25,442
GWS003,2023-02-05,22.64,0.0,8.0,7.44,4.42,472
GWS003,2023-02-12,23.13,0.0,8.0,7.31,4.12,618
GWS003,2023-02-19,22.71,0.0,8.0,7.73,3.55,583
GWS003,2023-02-26,21.38,0.0,11.7,7.81,3.97,420
GWS003,2023-03-05,24.47,0.0,19.0,7.54,4.39,449
GWS003,2023-03-12,24.38,79.2,26.8,7.4,11.28,405
GWS003,2023-03-19,26.67,0.0,27.6,7.66,4.54,397
GWS003,2023-03-26,24.9,0.0,26.9,7.33,4.33,585
GWS003,2023-04-02,27.17,0.0,35.0,7.19,4.35,500
GWS003,2023-04-09,26.44,0.0,41.9,7.6,3.81,449
GWS003,2023-04-16,26.73,0.0,42.4,7.59,3.93,371
GWS003,2023-04-23,27.56,0.0,45.0,7.4,4.26,534
GWS003,2023-04-30,27.6,29.1,45.0,7.64,6.82,508
GWS003,2023-05-07,26.34,7.6,43.6,7.48,3.74,523
GWS003,2023-05-14,25.76,0.0,45.0,7.38,3.84,436
GWS003,2023-05-21,28.32,0.0,45.0,7.3,4.49,561
GWS003,2023-05-28,25.46,0.0,45.0,7.45,3.58,535
GWS003,2023-06-04,18.4,0.0,35.9,7.57,3.93,475
GWS003,2023-06-11,19.49,14.4,36.7,7.56,6.68,330
GWS003,2023-06-18,18.36,15.3,36.2,7.44,5.16,549
GWS003,2023-06-25,14.85,8.5,35.7,7.71,4.01,333
GWS003,2023-07-02,19.97,85.5,38.1,7.39,12.89,546
GWS003,2023-07-09,19.44,33.0,40.3,7.31,6.87,372
GWS003,2023-07-16,16.75,6.0,40.1,7.66,4.47,360
GWS003,2023-07-23,18.58,0.0,38.7,7.55,4.52,492
GWS003,2023-07-30,15.67,0.0,33.0,7.55,4.38,529
GWS003,2023-08-06,18.03,0.0,37.9,7.23,3.79,538
GWS003,2023-08-13,17.58,20.7,34.1,7.25,6.43,450
GWS003,2023-08-20,18.91,0.0,30.2,7.36,4.5,387
GWS003,2023-08-27,17.57,0.0,30.3,7.5,4.3,380
GWS003,2023-09-03,13.95,49.8,27.3,7.5,9.46,563
GWS003,2023-09-10,16.58,34.3,28.1,7.5,11.5,468
GWS003,2023-09-17,18.8,11.2,26.0,7.23,7.02,455
GWS003,2023-09-24,13.93,20.8,20.0,7.68,5.74,577
GWS003,2023-10-01,22.53,0.0,20.9,7.73,4.19,581
GWS003,2023-10-08,21.61,0.0,21.7,7.56,4.29,530
GWS003,2023-10-15,22.92,11.5,18.9,7.53,5.24,570
GWS003,2023-10-22,20.31,0.0,17.9,7.74,4.29,455
GWS003,2023-10-29,22.32,0.0,18.5,7.9,3.86,430
GWS003,2023-11-05,21.72,0.0,19.7,7.65,4.3,488
GWS003,2023-11-12,22.36,35.7,10.3,7.45,8.72,382
GWS003,2023-11-19,21.61,11.9,9.4,7.78,6.85,470
GWS003,2023-11-26,22.2,8.1,11.8,7.38,3.77,377
GWS003,2023-12-03,20.83,0.0,8.0,7.82,3.55,503
GWS003,2023-12-10,21.66,0.0,8.0,7.5,4.49,441
GWS003,2023-12-17,22.24,0.0,8.0,7.31,4.44,390
GWS003,2023-12-24,20.8,0.0,8.0,7.27,4.32,549
GWS003,2023-12-31,21.5,0.0,8.0,7.7,4.29,375
GWS003,2024-01-07,20.58,16.1,8.0,7.25,5.99,401
GWS003,2024-01-14,21.49,0.0,8.0,7.59,3.62,533
GWS003,2024-01-21,21.05,15.5,8.0,7.57,6.03,468
GWS003,2024-01-28,22.37,0.0,8.6,7.73,3.92,583
GWS003,2024-02-04,20.71,12.3,9.0,7.44,7.58,458
GWS003,2024-02-11,20.78,0.0,8.0,7.38,4.4,597
GWS003,2024-02-18,21.43,0.0,8.0,7.31,4.03,386
GWS003,2024-02-25,20.73,0.0,12.2,7.49,3.85,493
GWS003,2024-03-03,23.46,27.2,21.5,7.55,5.17,556
GWS003,2024-03-10,23.67,52.5,27.7,7.28,8.05,317
GWS003,2024-03-17,21.61,0.0,25.3,7.74,4.09,588
GWS003,2024-03-24,24.25,0.0,27.2,7.46,3.94,483
GWS003,2024-03-31,25.28,46.0,26.6,7.8,12.17,447
GWS003,2024-04-07,23.61,0.0,36.2,7.69,4.01,409
GWS003,2024-04-14,28.02,0.0,45.0,7.35,3.72,491
GWS003,2024-04-21,26.47,0.0,45.0,7.5,4.03,472
GWS003,2024-04-28,25.22,55.0,42.0,7.47,6.52,566
GWS003,2024-05-05,25.33,0.0,45.0,7.23,3.71,452
GWS003,2024-05-12,25.84,0.0,45.0,7.38,4.26,484
GWS003,2024-05-19,25.46,0.0,45.0,7.63,4.37,402
GWS003,2024-05-26,25.0,0.0,45.0,7.3,3.75,556
GWS003,2024-06-02,16.17,87.0,35.6,7.34,15.0,519
GWS003,2024-06-09,17.09,18.3,40.2,7.7,4.44,433
GWS003,2024-06-16,15.19,32.6,36.6,7.23,10.06,397
GWS003,2024-06-23,16.02,80.8,39.3,7.56,13.23,405
GWS003,2024-06-30,15.13,0.0,39.2,7.19,3.95,430
GWS003,2024-07-07,14.24,0.0,32.9,7.4,3.98,329
GWS003,2024-07-14,17.57,0.0,37.9,7.64,4.49,560
GWS003,2024-07-21,16.15,0.0,32.5,7.55,3.78,337
GWS003,2024-07-28,15.95,0.0,35.9,7.45,4.06,482
GWS003,2024-08-04,17.89,0.0,36.2,7.38,3.74,581
GWS003,2024-08-11,15.45,33.1,37.3,7.69,10.75,509
GWS003,2024-08-18,13.61,47.0,29.9,7.83,7.28,581
GWS003,2024-08-25,16.86,7.7,31.7,7.51,3.81,596
GWS003,2024-09-01,12.13,0.0,28.1,7.23,4.16,340
GWS003,2024-09-08,12.91,0.0,27.8,7.2,4.17,512
GWS003,2024-09-15,12.61,0.0,25.2,7.34,3.6,538
GWS003,2024-09-22,14.07,0.0,23.9,7.59,4.23,315
GWS003,2024-09-29,14.16,68.3,20.6,7.41,8.68,333
GWS003,2024-10-06,19.74,0.0,19.6,7.3,4.5,409
GWS003,2024-10-13,20.33,0.0,21.3,7.59,4.11,473
GWS003,2024-10-20,21.47,0.0,18.8,7.34,4.11,549
GWS003,2024-10-27,19.52,0.0,15.5,7.47,4.33,447
GWS003,2024-11-03,21.0,0.0,15.0,7.17,4.35,438
GWS003,2024-11-10,19.65,15.3,11.9,7.39,5.38,543
GWS003,2024-11-17,20.42,6.0,15.6,7.81,3.62,343
GWS003,2024-11-24,19.16,22.9,11.5,7.24,7.22,393
GWS003,2024-12-01,20.1,0.0,8.0,7.69,3.87,507
GWS003,2024-12-08,19.4,0.0,8.0,7.32,4.18,506
GWS003,2024-12-15,20.14,0.0,8.0,7.65,3.91,386
GWS003,2024-12-22,20.44,0.0,8.0,7.31,4.49,411
GWS003,2024-12-29,19.39,0.0,8.0,7.45,3.94,405
GWS003,2025-01-05,19.55,0.0,8.0,7.76,4.35,490
GWS003,2025-01-12,20.43,0.0,8.0,7.4,4.16,421
GWS003,2025-01-19,18.82,11.2,8.0,7.41,6.83,378
GWS003,2025-01-26,19.39,0.0,8.0,7.61,4.39,534
GWS003,2025-02-02,18.94,0.0,8.0,7.77,3.67,508
GWS003,2025-02-09,19.71,0.0,8.0,7.65,4.53,477
GWS003,2025-02-16,19.45,0.0,8.0,7.42,4.18,429
GWS003,2025-02-23,19.27,0.0,10.0,7.22,3.66,489
GWS003,2025-03-02,20.94,0.0,18.0,7.15,4.16,623
GWS003,2025-03-09,22.99,0.0,22.5,7.47,4.33,560
GWS003,2025-03-16,22.49,0.0,25.0,7.46,3.84,484
GWS003,2025-03-23,21.8,0.0,31.1,7.39,3.7,391
GWS003,2025-03-30,22.11,0.0,23.6,7.78,3.78,537
GWS003,2025-04-06,24.02,0.0,41.7,7.42,3.66,428
GWS003,2025-04-13,25.97,44.0,40.0,7.73,9.46,391
GWS003,2025-04-20,25.22,44.4,44.2,7.53,9.89,432
GWS003,2025-04-27,24.43,14.9,45.0,7.64,7.12,391
GWS003,2025-05-04,22.53,0.0,43.9,7.52,4.0,545
GWS003,2025-05-11,22.72,0.0,45.0,7.4,3.86,571
GWS003,2025-05-18,23.72,0.0,45.0,7.39,4.47,450
GWS003,2025-05-25,24.71,0.0,45.0,7.72,3.85,432
GWS004,2023-01-01,11.51,0.0,8.0,7.47,2.46,998
GWS004,2023-01-08,10.42,0.0,8.9,7.81,2.71,1089
GWS004,2023-01-15,10.85,0.0,8.7,7.34,2.65,1027
GWS004,2023-01-22,11.38,0.0,8.0,7.64,2.66,985
GWS004,2023-01-29,10.68,0.0,8.0,7.53,2.27,1029
GWS004,2023-02-05,10.05,0.0,8.0,7.5,1.93,967
GWS004,2023-02-12,11.15,0.0,9.0,7.77,2.08,1086
GWS004,2023-02-19,9.72,0.0,14.0,7.53,2.3,967
GWS004,2023-02-26,10.14,0.0,18.0,7.59,1.92,1083
GWS004,2023-03-05,13.38,13.8,30.8,8.04,2.84,931
GWS004,2023-03-12,11.67,46.6,25.7,7.76,5.58,1071
GWS004,2023-03-19,11.19,0.0,27.1,7.67,2.27,1012
GWS004,2023-03-26,12.55,0.0,30.1,7.8,1.98,1024
GWS004,2023-04-02,14.73,0.0,43.3,7.58,2.21,973
GWS004,2023-04-09,14.32,78.5,45.0,7.92,7.06,921
GWS004,2023-04-16,14.66,0.0,43.0,8.04,2.51,939
GWS004,2023-04-23,14.33,0.0,45.0,7.52,2.68,1105
GWS004,2023-04-30,15.09,0.0,45.0,8.11,2.2,1093
GWS004,2023-05-07,14.31,0.0,45.0,7.65,2.32,1181
GWS004,2023-05-14,17.45,0.0,45.0,7.72,2.45,939
GWS004,2023-05-21,16.37,0.0,45.0,7.82,2.73,995
GWS004,2023-05-28,14.6,9.6,45.0,8.1,1.95,1189
GWS004,2023-06-04,3.48,6.5,42.0,7.65,2.62,1083
